order_id,customer_id,product_id,quantity,order_date,status
1001,2,113,1.0,2024-04-12,Shipped
1002,128,102,1.0,2024-12-14,Completed
1003,84,119,1.0,2024-09-27,Completed
1004,140,119,1.0,2024-04-16,Completed
1005,124,104,1.0,2024-03-12,Processing
1006,33,104,1.0,2024-07-07,Completed
1007,101,111,1.0,2024-01-21,Completed
1008,12,105,3.0,2024-04-12,Completed
1009,67,120,2.0,2024-05-01,Shipped
1010,65,111,2.0,2024-08-02,Completed
1011,74,110,3.0,2024-11-26,Completed
1012,43,108,1.0,2024-03-28,Completed
1013,44,106,1.0,2024-04-09,Processing
1014,29,106,1.0,2024-12-25,Completed
1015,141,108,2.0,2024-05-31,Completed
1016,12,123,1.0,2024-05-10,Completed
1017,95,115,1.0,2024-05-29,Shipped
1018,46,114,2.0,2024-11-04,Completed
1019,130,111,1.0,2024-09-14,Cancelled
1020,35,112,1.0,2024-12-09,Cancelled
1021,81,113,1.0,2024-10-20,Cancelled
1022,90,108,1.0,2024-07-10,Completed
1023,8,118,1.0,2024-10-03,Completed
1024,93,125,3.0,2024-06-09,Cancelled
1025,90,101,1.0,2024-11-09,Completed
1026,115,115,1.0,2024-01-22,Processing
1027,105,108,1.0,2024-09-09,Completed
1028,135,111,3.0,2024-08-23,Cancelled
1029,58,112,2.0,2024-12-10,Processing
1030,114,112,2.0,2024-02-18,Shipped
1031,75,104,1.0,2024-02-28,Completed
1032,120,116,1.0,2024-06-18,Completed
1033,21,104,2.0,2024-07-06,Completed
1034,138,105,3.0,2024-09-27,Completed
1035,101,124,2.0,2024-07-08,Cancelled
1036,99,105,1.0,2024-06-23,Completed
1037,36,108,1.0,2024-02-20,Shipped
1038,96,110,1.0,2024-12-29,Completed
1039,37,117,1.0,2024-02-24,Cancelled
1040,12,109,1.0,2024-08-31,Shipped
1041,113,122,2.0,2024-11-15,Processing
1042,13,119,2.0,2024-05-10,Shipped
1043,23,114,1.0,2024-11-02,Cancelled
1044,99,108,1.0,2024-05-14,Processing
1045,105,109,1.0,2024-01-21,Cancelled
1046,30,122,1.0,2024-11-24,Completed
1047,17,111,2.0,2024-06-15,Completed
1048,113,123,1.0,2024-09-30,Cancelled
1049,62,101,1.0,2024-03-29,Cancelled
1050,84,114,1.0,2024-11-11,Completed
1051,112,105,2.0,2024-01-14,Completed
1052,86,121,1.0,2024-08-29,Completed
1053,141,114,,2024-09-21,Processing
1054,19,104,1.0,2024-12-11,Completed
1055,100,122,2.0,2024-02-22,Completed
1056,140,123,3.0,2024-12-05,Completed
1057,147,125,1.0,2024-04-01,Completed
1058,76,101,2.0,2024-09-20,Cancelled
1059,9,122,1.0,2024-02-04,Completed
1060,28,123,1.0,2024-07-24,Completed
1061,128,119,3.0,2024-03-21,Completed
1062,52,108,2.0,2024-02-19,Completed
1063,83,115,2.0,2024-12-25,Processing
1064,111,121,2.0,2024-01-02,Completed
1065,144,115,2.0,2024-02-23,Completed
1066,117,109,2.0,2024-04-15,Completed
1067,69,121,2.0,2024-09-16,
1068,99,109,1.0,2024-11-05,Cancelled
1069,140,110,1.0,2024-07-09,Processing
1070,25,120,2.0,2024-08-05,Shipped
1071,123,125,3.0,2024-02-13,Shipped
1072,53,121,2.0,2024-06-10,Completed
1073,144,109,1.0,2024-07-20,Completed
1074,57,103,1.0,2024-09-26,Processing
1075,39,120,1.0,2024-12-16,Completed
1076,109,125,1.0,2024-10-30,Completed
1077,42,111,1.0,2024-09-27,Completed
1078,142,106,2.0,2024-08-02,Processing
1079,122,102,2.0,2024-09-08,Cancelled
1080,133,107,1.0,2024-07-08,Completed
1081,75,118,3.0,2024-10-22,Completed
1082,146,102,1.0,2024-07-31,Completed
1083,76,117,2.0,2024-07-26,Completed
1084,9,111,1.0,2024-08-24,Shipped
1085,74,112,1.0,2024-12-03,Completed
1086,145,119,1.0,2024-02-22,Shipped
1087,7,122,1.0,2024-10-06,Shipped
1088,141,124,2.0,2024-08-04,Cancelled
1089,137,125,1.0,2024-09-08,Completed
1090,27,107,2.0,2024-07-06,Completed
1091,122,120,1.0,2024-02-10,Completed
1092,5,106,2.0,2024-06-05,Completed
1093,29,121,1.0,2024-01-15,Shipped
1094,83,124,2.0,2024-10-27,Processing
1095,136,101,1.0,2024-03-05,Processing
1096,109,117,3.0,2024-12-10,Completed
1097,65,111,2.0,2024-11-22,Processing
1098,86,122,2.0,2024-01-09,Completed
1099,145,118,1.0,2024-12-09,Processing
1100,71,121,2.0,2024-05-08,Completed
1101,45,117,1.0,2024-05-15,Completed
1102,132,107,1.0,2024-03-03,Shipped
1103,36,117,1.0,2024-05-18,Completed
1104,70,120,1.0,2024-03-21,Cancelled
1105,19,109,1.0,2024-06-11,Completed
1106,108,117,1.0,2024-10-15,Shipped
1107,91,120,2.0,2024-09-17,Completed
1108,90,122,3.0,2024-08-18,Completed
1109,19,122,1.0,2024-02-10,Processing
1110,39,108,2.0,2024-01-28,Processing
1111,126,117,1.0,2024-05-14,Cancelled
1112,141,107,3.0,2024-07-19,Completed
1113,126,101,2.0,2024-11-23,Shipped
1114,58,113,2.0,2024-09-24,Cancelled
1115,148,123,2.0,2024-02-02,Completed
1116,61,119,1.0,2024-02-17,Completed
1117,127,124,2.0,2024-03-02,Completed
1118,105,119,3.0,2024-08-03,Cancelled
1119,1,117,1.0,2024-10-19,Cancelled
1120,131,113,1.0,2024-04-08,Shipped
1121,92,116,1.0,2024-06-20,Completed
1122,113,108,1.0,2024-12-25,Completed
1123,56,119,1.0,2024-08-01,Shipped
1124,117,118,2.0,2024-02-04,Completed
1125,134,101,2.0,2024-08-14,Completed
1126,58,114,1.0,2024-04-10,Completed
1127,44,119,3.0,2024-05-10,Completed
1128,61,115,1.0,2024-09-13,Completed
1129,47,118,3.0,2024-01-05,Completed
1130,149,102,1.0,2024-08-05,Processing
1131,80,122,1.0,2024-09-11,Completed
1132,118,117,1.0,2024-12-24,Completed
1133,147,118,2.0,2024-10-09,Completed
1134,20,106,2.0,2024-07-25,Processing
1135,146,119,3.0,2024-01-15,Processing
1136,47,104,2.0,2024-12-11,Completed
1137,49,101,2.0,2024-02-11,Completed
1138,14,108,3.0,2024-06-27,Processing
1139,143,123,2.0,2024-03-03,Completed
1140,1,107,2.0,2024-12-17,Completed
1141,117,103,2.0,2024-08-18,Shipped
1142,54,110,1.0,2024-08-28,Completed
1143,118,110,2.0,2024-02-21,Completed
1144,3,119,1.0,2024-04-05,Processing
1145,144,114,1.0,2024-08-09,Completed
1146,12,102,2.0,2024-08-18,Shipped
1147,74,101,3.0,2024-08-24,Shipped
1148,16,123,1.0,2024-05-22,Completed
1149,102,123,1.0,2024-06-19,Completed
1150,117,118,3.0,2024-01-29,Completed
1151,8,107,1.0,2024-02-05,Shipped
1152,122,108,3.0,2024-01-13,Completed
1153,92,101,1.0,2024-06-08,Shipped
1154,90,125,1.0,2024-11-22,Cancelled
1155,136,123,1.0,2024-07-05,Completed
1156,60,103,1.0,2024-08-30,Completed
1157,28,124,3.0,2024-03-26,Cancelled
1158,101,123,2.0,2024-10-10,Completed
1159,41,108,2.0,2024-03-06,Cancelled
1160,145,122,2.0,2024-06-18,Processing
1161,141,125,1.0,2024-02-14,Processing
1162,46,115,1.0,2024-03-02,Completed
1163,35,105,2.0,2024-05-13,Completed
1164,134,103,2.0,2024-10-10,Completed
1165,82,119,2.0,2024-01-28,Completed
1166,115,101,2.0,2024-04-17,Shipped
1167,47,115,1.0,2024-02-13,Shipped
1168,10,108,1.0,2024-12-05,Cancelled
1169,56,102,3.0,2024-10-12,Completed
1170,30,103,1.0,2024-11-26,Cancelled
1171,109,124,1.0,2024-05-07,Cancelled
1172,5,114,1.0,2024-12-13,Shipped
1173,119,124,1.0,2024-08-18,Completed
1174,33,114,1.0,2024-07-08,Cancelled
1175,118,111,3.0,2024-08-12,Completed
1176,65,116,1.0,2024-10-09,Completed
1177,146,104,2.0,2024-04-30,Completed
1178,11,120,2.0,2024-04-25,Completed
1179,85,105,1.0,2024-08-20,Cancelled
1180,26,122,1.0,2024-09-15,Completed
1181,63,121,2.0,2024-12-24,Shipped
1182,86,114,1.0,2024-07-16,
1183,59,123,2.0,2024-05-16,Processing
1184,27,116,2.0,2024-11-13,Completed
1185,98,118,1.0,2024-06-13,Completed
1186,105,107,2.0,2024-08-12,Processing
1187,99,110,1.0,2024-11-02,Shipped
1188,129,107,3.0,2024-08-21,Completed
1189,149,101,2.0,2024-06-20,Shipped
1190,55,123,3.0,2024-05-31,Completed
1191,6,121,1.0,2024-11-10,Processing
1192,95,119,1.0,2024-06-08,Completed
1193,133,116,1.0,2024-04-05,Shipped
1194,102,119,1.0,2024-08-20,Cancelled
1195,3,104,3.0,2024-06-28,Completed
1196,23,118,2.0,2024-04-22,Completed
1197,53,102,2.0,2024-11-13,Completed
1198,83,101,2.0,2024-02-21,Completed
1199,145,115,2.0,2024-09-24,Processing
1200,85,105,2.0,2024-10-21,Completed
1201,78,120,1.0,2024-04-22,Completed
1202,110,111,,2024-04-10,Completed
1203,1,110,3.0,2024-04-22,Shipped
1204,51,102,1.0,2024-03-21,Completed
1205,4,103,1.0,2024-07-05,Completed
1206,113,123,2.0,2024-04-22,Completed
1207,32,123,1.0,2024-01-02,Processing
1208,34,112,1.0,2024-05-09,Completed
1209,92,120,1.0,2024-08-07,Cancelled
1210,95,105,1.0,2024-02-23,Cancelled
1211,72,105,2.0,2024-12-08,Completed
1212,39,106,3.0,2024-08-11,Completed
1213,118,109,1.0,2024-08-12,Cancelled
1214,3,102,2.0,2024-05-05,Shipped
1215,123,121,1.0,2024-05-09,Cancelled
1216,50,112,1.0,2024-02-22,Cancelled
1217,12,103,1.0,2024-06-20,Cancelled
1218,54,120,2.0,2024-08-05,Completed
1219,133,122,1.0,2024-06-08,Completed
1220,57,112,2.0,2024-07-16,Shipped
1221,145,124,1.0,2024-09-03,Completed
1222,112,117,2.0,2024-11-19,Completed
1223,47,110,3.0,2024-07-21,Completed
1224,85,124,1.0,2024-07-02,Completed
1225,142,114,1.0,2024-05-02,Processing
1226,66,123,2.0,2024-09-11,Cancelled
1227,75,117,2.0,2024-10-20,Processing
1228,103,118,1.0,2024-10-06,Completed
1229,38,119,3.0,2024-11-20,Completed
1230,50,117,1.0,2024-04-07,Shipped
1231,98,114,2.0,2024-07-16,Completed
1232,82,109,1.0,2024-08-27,Cancelled
1233,30,108,2.0,2024-05-23,Completed
1234,79,102,2.0,2024-04-06,Shipped
1235,91,113,2.0,2024-07-19,Cancelled
1236,52,125,2.0,2024-05-03,Processing
1237,79,107,1.0,2024-07-05,Processing
1238,30,109,1.0,2024-11-21,Shipped
1239,106,122,2.0,2024-12-14,Processing
1240,51,122,3.0,2024-09-15,Completed
1241,81,111,1.0,2024-05-27,Completed
1242,133,114,3.0,2024-09-08,Completed
1243,29,104,3.0,2024-12-11,Completed
1244,132,113,1.0,2024-05-26,Cancelled
1245,138,102,3.0,2024-05-27,Completed
1246,145,123,2.0,2024-12-17,Completed
1247,74,105,2.0,2024-07-17,Completed
1248,17,111,2.0,2024-11-03,Shipped
1249,84,106,1.0,2024-05-07,Completed
1250,69,118,3.0,2024-02-08,Completed
1251,34,121,1.0,2024-12-03,Completed
1252,6,110,2.0,2024-12-25,Completed
1253,53,104,3.0,2024-05-08,Shipped
1254,126,109,3.0,2024-09-23,Completed
1255,43,106,2.0,2024-05-30,Completed
1256,115,102,2.0,2024-10-24,Completed
1257,111,117,1.0,2024-04-08,Completed
1258,80,105,1.0,2024-09-19,Completed
1259,95,125,,2024-09-08,Cancelled
1260,118,106,1.0,2024-05-23,Completed
1261,144,112,2.0,2024-12-11,Completed
1262,8,123,,2024-04-21,Completed
1263,132,121,3.0,2024-02-29,Completed
1264,104,110,1.0,2024-01-02,Completed
1265,132,122,3.0,2024-10-30,Completed
1266,25,121,3.0,2024-09-10,Completed
1267,96,125,1.0,2024-05-19,Cancelled
1268,93,106,2.0,2024-02-06,Completed
1269,61,108,1.0,2024-06-08,Shipped
1270,122,102,1.0,2024-01-09,Cancelled
1271,51,112,2.0,2024-08-20,Completed
1272,147,113,3.0,2024-04-08,Completed
1273,21,125,1.0,2024-05-26,Completed
1274,5,121,1.0,2024-10-30,Completed
1275,92,107,3.0,2024-07-26,Completed
1276,61,110,1.0,2024-05-10,Cancelled
1277,22,113,1.0,2024-05-31,Shipped
1278,149,117,1.0,2024-02-23,Completed
1279,70,121,2.0,2024-04-29,Processing
1280,1,114,1.0,2024-06-09,Shipped
1281,133,102,3.0,2024-04-25,Cancelled
1282,12,122,3.0,2024-03-15,Completed
1283,90,111,3.0,2024-04-22,Completed
1284,46,101,2.0,2024-04-13,Cancelled
1285,34,119,2.0,2024-12-05,Completed
1286,78,121,1.0,2024-09-10,Completed
1287,45,104,1.0,2024-08-14,Completed
1288,73,119,1.0,2024-04-21,Processing
