Ship_ID,Sensor_Alpha,Sensor_Beta,Zone,Last_Service_Date,Error_Log,Random_Noise,Maintenance_Needed
SHP-0000,48.3773156283704,601.8654948272846,Sector_D,2024-05-15,Error: Pressure Drop,0.4382036713504559,0
SHP-0001,51.94058223354635,5028.510375597973,Sector_A,2024-08-31,Error: Pressure Drop,0.6854276665624791,1
SHP-0002,56.73269566855413,972.3582214181638,Sector_D,2024-05-10,None,0.09005515252427143,1
SHP-0003,38.141833795801965,2087.7466863078666,Sector_B,2024-07-04,Warning: High Temp,0.9290929950571308,0
SHP-0004,47.703003190243216,1215.8070102946726,Sector_D,2024-06-20,Warning: High Temp,0.5890601064905943,1
SHP-0005,58.23148998510812,208.35840248591424,Sector_A,2024-05-04,None,0.21988228352032668,1
SHP-0006,70.14657357199343,1233.803616479175,Sector_D,2024-07-15,None,0.7341453165855225,1
SHP-0007,57.46487357552261,281.12724020393136,Sector_C,2024-02-22,None,0.14985197093953606,0
SHP-0008,52.82620510795873,520.6539123242467,Sector_C,2024-12-20,Error: Pressure Drop,0.15856357873916083,1
SHP-0009,40.418063916049796,317.21598705414226,Sector_C,2024-12-27,None,0.3908215485939499,0
SHP-0010,67.85126062259074,825.761214118332,Sector_B,2024-08-11,Warning: High Temp,0.46304056151939377,1
SHP-0011,50.195200220186926,135.03784861961717,Sector_B,2024-10-26,Warning: High Temp,0.08832083695332571,1
SHP-0012,33.66191381392167,507.07199580592055,Sector_D,2024-11-30,None,0.13221555192798196,0
SHP-0013,41.06118676693186,73.66152617529784,Sector_C,2024-05-25,None,0.7852591748783566,0
SHP-0014,33.00830426931812,29.343312818849405,Sector_C,2024-05-24,None,0.7485602133272309,1
SHP-0015,53.04084180146678,812.0182372106735,Sector_A,2024-09-16,None,0.7962025480394298,1
SHP-0016,61.65902027711096,658.2342090505377,Sector_B,2024-06-03,None,0.6348773799778075,0
SHP-0017,61.74825986993131,72.89845387595297,Sector_B,2024-09-22,None,0.8202644429404087,1
SHP-0018,61.975027822336344,942.2838883289164,Sector_B,2024-05-13,None,0.5615424748297041,1
SHP-0019,35.28866689339225,470.66645948053576,Sector_D,2024-05-11,Error: Pressure Drop,0.6341777514590139,0
SHP-0020,50.45832527864555,389.028414754311,Sector_A,2024-09-14,None,0.013552559285846644,1
SHP-0021,58.97875874483064,1089.6537809308056,Sector_A,2024-11-06,Warning: High Temp,0.849478538258696,1
SHP-0022,59.22169139006195,525.4979122567573,Sector_A,2024-03-24,Error: Pressure Drop,0.4722045863657167,1
SHP-0023,49.92063491827092,149.28219594777312,Sector_D,2024-07-20,Error: Pressure Drop,0.9340437111566888,0
SHP-0024,39.888409285960805,993.2254839594931,Sector_D,2024-12-01,None,0.8280644818436884,0
SHP-0025,48.7287820412732,492.9296175924889,Sector_A,2024-01-25,Warning: High Temp,0.9623470677397428,1
SHP-0026,55.24542009858717,296.387460109086,Sector_C,2024-07-16,None,0.7038483661149708,0
SHP-0027,57.358624247237735,214.09510788201217,Sector_A,2024-11-10,None,0.8613778105663384,0
SHP-0028,63.977932242568855,2214.5064945676127,Sector_D,2024-09-09,None,0.4250285797146117,1
SHP-0029,42.523617107945746,247.28066849674397,Sector_B,2024-10-07,None,0.9229686358836159,1
SHP-0030,49.56943532694564,1190.2096631378479,Sector_C,2024-07-08,None,0.07287199920716536,1
SHP-0031,46.42120908767799,201.03944084556116,Sector_C,2024-02-13,None,0.9921721750355216,0
SHP-0032,44.67714869986721,265.23869680953015,Sector_A,2024-12-27,Error: Pressure Drop,0.06604656412935894,0
SHP-0033,49.481799466448486,481.0352250350603,Sector_A,2024-05-31,None,0.9188253310405078,1
SHP-0034,40.87182736680918,1187.762190621866,Sector_D,2024-06-05,None,0.5706583744235783,0
SHP-0035,39.1691347545362,1035.330812017434,Sector_D,2024-09-19,None,0.6580312326509158,0
SHP-0036,56.021040353134644,445.6658245326548,Sector_D,2024-05-19,Error: Pressure Drop,0.40689437733755485,1
SHP-0037,53.49431745893743,598.0429618682896,Sector_C,2024-05-18,Error: Pressure Drop,0.47586109064483173,1
SHP-0038,45.29769751071202,17.792731679555164,Sector_B,2024-05-15,None,0.7107233700054921,1
SHP-0039,50.00888693565896,208.38440779652086,Sector_D,2024-06-29,Error: Pressure Drop,0.4850639437910621,0
SHP-0040,41.22030987315176,1065.3445834825568,Sector_C,2024-01-07,None,0.35196442104848036,0
SHP-0041,61.430765006997476,1141.8927147034874,Sector_B,2024-11-14,Warning: High Temp,0.494617792478548,1
SHP-0042,51.794000941804185,94.31443108995023,Sector_D,2024-10-09,Error: Pressure Drop,0.41538152700617004,1
SHP-0043,44.24848035035339,1904.5400815913174,Sector_A,2024-08-12,Warning: High Temp,0.25964976785155847,0
SHP-0044,55.65454124713859,693.2692038421743,Sector_C,2024-02-23,None,0.9284777769519957,0
SHP-0045,44.55082712308867,296.7950755054618,Sector_C,2024-09-27,None,0.2670871576496838,1
SHP-0046,47.337274104424694,985.420641368589,Sector_B,2024-02-18,None,0.53985430437855,0
SHP-0047,51.85392914973264,1059.7952236260937,Sector_D,2024-01-03,None,0.30809909983685235,0
SHP-0048,61.97225239910956,294.5110019483341,Sector_B,2024-01-16,Warning: High Temp,0.10135648614037729,0
SHP-0049,46.83743698815713,715.0343548170504,Sector_C,2024-05-02,Error: Pressure Drop,0.6837379715693378,0
SHP-0050,52.96998957184107,709.2718247742984,Sector_B,2024-08-12,None,0.7827352957386554,1
SHP-0051,67.1504365219977,1742.0600371989474,Sector_B,2024-02-26,Error: Pressure Drop,0.6307090865077085,0
SHP-0052,51.71242261145035,2476.984122476153,Sector_B,2024-01-30,None,0.7750557229591758,1
SHP-0053,45.243202505910816,912.3795479299955,Sector_C,2024-01-08,None,0.3617491618556635,1
SHP-0054,49.41125046918748,5052.183150241839,Sector_A,2024-11-02,None,0.07517237668347299,0
SHP-0055,51.563598086599455,421.9235955216352,Sector_D,2024-05-26,None,0.8797550868611693,0
SHP-0056,,537.8536407019517,Sector_C,2024-05-12,None,0.93493427456992,1
SHP-0057,52.03893514990742,11.821005016041461,Sector_A,2024-09-21,None,0.4435265342639241,0
SHP-0058,37.1190925985189,92.44455013572077,Sector_D,2024-10-30,None,0.04563210300770104,0
SHP-0059,54.03959134336449,2490.983468132169,Sector_C,2024-08-09,None,0.46140329557282345,0
SHP-0060,46.581714570639846,111.0489913701514,Sector_C,2024-03-25,None,0.29189270842177717,1
SHP-0061,44.90500029627968,684.0607775408566,Sector_D,2024-08-07,None,0.9265311738064496,0
SHP-0062,65.90204277411203,2112.078582877119,Sector_B,2024-12-06,None,0.5147164055594972,0
SHP-0063,37.8138477460675,1351.983462085362,Sector_C,2025-01-01,Error: Pressure Drop,0.8880443908396504,1
SHP-0064,40.61200498465027,176.28367100864978,Sector_D,2024-04-07,Error: Pressure Drop,0.5042133849354729,1
